Taille;Morphologie;Methode;Nb_visites;Temps
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;ABR_presque_complet;naif;2;0
2;ABR_presque_complet;definition;2;0
2;ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
2;non_ABR_presque_complet;definition;2;0
2;non_ABR_presque_complet;infixe;2;0
2;non_ABR_presque_complet;naif;2;0
